,Edad,Sexo,Trabajo,Alojamiento,Cuenta de ahorros,Monto de credito,Duracion,Proposito,Riesgo
1786,31,F,2,propio,poco,2301,12,radio/TV,bueno
1787,68,M,2,propio,NA,640,6,carro,bueno
1788,51,F,2,propio,poco,1943,60,educacion,malo
1789,38,F,2,propio,moderado,1255,24,carro,bueno
1790,38,F,2,rentado,NA,2145,36,radio/TV,bueno
1791,36,M,3,propio,poco,691,24,carro,malo
1792,40,F,3,propio,moderado,6527,12,carro,bueno
1793,31,F,1,propio,poco,10961,15,radio/TV,bueno
1794,26,F,1,propio,poco,7253,11,negocios,malo
1795,20,M,2,propio,poco,7678,39,radio/TV,bueno
1796,53,M,2,propio,NA,2775,12,negocios,malo
1797,34,F,2,rentado,poco,1829,18,carro,bueno
1798,30,M,2,propio,poco,3621,6,carro,bueno
1799,42,F,2,rentado,rico,3160,18,radio/TV,bueno
1800,38,M,2,propio,rico,1024,12,educacion,bueno
1801,36,F,2,propio,poco,4526,24,inmoviliario/equipo,bueno
1802,41,M,2,rentado,poco,1554,30,carro,malo
1803,46,M,1,propio,poco,1919,15,inmoviliario/equipo,bueno
1804,25,F,3,propio,poco,2600,15,educacion,bueno
1805,32,M,2,rentado,moderado,428,12,inmoviliario/equipo,bueno
1806,42,M,2,propio,poco,4165,18,carro,bueno
1807,24,M,2,propio,NA,1842,12,carro,bueno
1808,35,M,2,propio,poco,1498,13,carro,malo
1809,35,M,2,propio,NA,11816,10,radio/TV,bueno
1810,35,F,2,propio,poco,3660,6,inmoviliario/equipo,bueno
1811,32,F,2,propio,moderado,6872,48,radio/TV,bueno
1812,60,M,1,propio,poco,2390,15,carro,bueno
1813,32,F,2,propio,poco,3959,24,inmoviliario/equipo,bueno
1814,59,M,2,rentado,NA,1278,11,carro,malo
1815,37,M,2,propio,casi rico,1345,6,inmoviliario/equipo,malo
1816,46,F,3,propio,casi rico,1552,12,inmoviliario/equipo,malo
1817,26,F,2,rentado,moderado,4006,24,educacion,malo
1818,22,F,2,propio,moderado,1455,6,radio/TV,malo
1819,26,M,2,propio,poco,3234,12,inmoviliario/equipo,bueno
1820,43,M,1,propio,poco,1228,10,vacaciones/otros,malo
1821,47,F,1,propio,poco,3660,15,inmoviliario/equipo,malo
1822,33,M,2,rentado,poco,4623,27,negocios,malo
1823,26,M,3,propio,NA,1478,45,educacion,bueno
1824,33,F,2,propio,NA,3342,30,radio/TV,bueno
1825,35,F,2,gratis,NA,1236,18,carro,bueno
1826,30,F,2,propio,moderado,1569,15,inmoviliario/equipo,bueno
1827,42,F,2,propio,poco,1024,24,refacciones,bueno
1828,31,M,2,propio,poco,1028,12,carro,bueno
1829,29,F,1,propio,NA,1808,21,inmoviliario/equipo,bueno
1830,24,M,2,propio,casi rico,2625,48,educacion,bueno
1831,34,M,2,gratis,poco,11816,39,inmoviliario/equipo,bueno
1832,26,M,2,propio,moderado,1424,12,carro,bueno
1833,27,M,2,gratis,poco,6148,24,negocios,bueno
1834,37,M,3,gratis,poco,6527,12,radio/TV,bueno
1835,40,M,1,propio,NA,1505,21,radio/TV,malo
1836,64,M,2,propio,moderado,1514,36,carro,bueno
1837,42,F,1,rentado,poco,2991,6,carro,bueno
1838,24,M,2,rentado,poco,1823,42,radio/TV,malo
1839,40,M,1,rentado,poco,5804,18,carro,bueno
1840,37,M,3,propio,poco,4811,12,carro,bueno
1841,33,M,2,propio,poco,3595,30,radio/TV,malo
1842,42,M,2,propio,poco,1980,12,carro,bueno
1843,42,M,1,propio,NA,12389,48,radio/TV,bueno
1844,35,M,3,propio,poco,2511,24,radio/TV,malo
1845,74,M,2,propio,rico,1275,12,carro,malo
1846,23,M,2,propio,NA,6560,18,carro,malo
1847,42,M,2,propio,poco,1382,18,inmoviliario/equipo,bueno
1848,26,F,2,propio,moderado,1275,12,carro,malo
1849,26,M,2,propio,NA,3711,12,carro,bueno
1850,45,M,1,gratis,NA,4139,11,inmoviliario/equipo,malo
1851,25,F,2,rentado,poco,12612,12,radio/TV,bueno
1852,43,M,2,rentado,casi rico,2476,15,carro,bueno
1853,38,F,1,propio,poco,1546,9,radio/TV,bueno
1854,25,F,3,propio,poco,1864,12,radio/TV,bueno
1855,26,M,2,propio,NA,2051,24,carro,bueno
1856,42,M,3,rentado,NA,4716,6,carro,bueno
1857,40,M,0,propio,NA,1164,8,radio/TV,malo
1858,22,M,2,propio,NA,2214,4,negocios,bueno
1859,24,F,2,gratis,poco,2991,6,carro,bueno
1860,49,M,1,rentado,moderado,3660,12,inmoviliario/equipo,bueno
1861,28,M,2,propio,poco,1297,24,negocios,malo
1862,28,F,2,propio,poco,1258,42,radio/TV,bueno
1863,40,M,2,propio,poco,1217,6,carro,bueno
1864,39,M,2,rentado,poco,6761,15,educacion,malo
1865,29,F,2,propio,poco,2329,12,radio/TV,bueno
1866,36,F,3,propio,NA,931,18,carro,bueno
1867,43,M,2,rentado,poco,2859,12,inmoviliario/equipo,bueno
1868,24,M,1,rentado,poco,1842,48,inmoviliario/equipo,bueno
1869,36,M,2,propio,poco,3621,12,radio/TV,bueno
1870,31,M,2,propio,poco,5248,12,carro,malo
1871,42,M,2,propio,poco,2360,12,carro,malo
1872,34,M,2,gratis,poco,12749,30,inmoviliario/equipo,malo
1873,57,F,0,rentado,poco,1577,15,negocios,malo
1874,46,F,2,gratis,poco,1338,27,radio/TV,bueno
1875,41,M,2,propio,poco,2901,24,radio/TV,malo
1876,32,F,2,propio,poco,1382,18,inmoviliario/equipo,bueno
1877,32,M,2,rentado,casi rico,3160,48,radio/TV,bueno
1878,63,F,2,propio,poco,2930,27,radio/TV,malo
1879,27,M,2,propio,poco,902,15,radio/TV,bueno
1880,46,M,2,propio,moderado,629,36,negocios,bueno
1881,49,M,2,rentado,poco,1382,24,radio/TV,bueno
1882,26,M,2,gratis,poco,1925,9,refacciones,bueno
1883,26,F,2,rentado,NA,1206,40,carro,bueno
1884,30,M,0,propio,poco,4042,18,carro,bueno
1885,30,M,2,rentado,poco,2390,12,carro,bueno
1886,38,F,3,propio,poco,1544,45,negocios,malo
1887,28,M,2,propio,moderado,6527,18,negocios,bueno
1888,36,M,2,gratis,poco,3617,18,inmoviliario/equipo,malo
1889,43,F,2,rentado,poco,3077,24,radio/TV,malo
1890,24,M,2,propio,poco,9277,12,educacion,bueno
1891,36,M,2,propio,poco,1098,12,carro,bueno
1892,23,F,1,rentado,poco,2063,42,carro,bueno
1893,25,M,2,rentado,NA,3990,15,carro,bueno
1894,23,M,1,propio,poco,1484,12,vacaciones/otros,malo
1895,27,F,2,propio,poco,5096,21,carro,malo
1896,40,M,2,propio,moderado,1309,18,radio/TV,malo
1897,31,M,1,propio,moderado,6842,36,educacion,malo
1898,25,F,3,propio,NA,3976,6,radio/TV,malo
1899,24,F,3,rentado,poco,3939,12,inmoviliario/equipo,malo
1900,42,M,2,propio,poco,1082,12,carro,bueno
1901,64,F,1,propio,poco,2360,24,inmoviliario/equipo,malo
1902,32,M,2,propio,poco,1514,24,inmoviliario/equipo,bueno
1903,33,M,3,propio,poco,2511,30,carro,bueno
1904,24,M,2,gratis,NA,4844,12,inmoviliario/equipo,bueno
1905,33,F,2,rentado,poco,1410,12,radio/TV,bueno
1906,29,M,1,propio,rico,3990,21,radio/TV,bueno
1907,28,M,2,propio,poco,1024,24,carro,malo
1908,46,M,1,gratis,poco,1024,24,educacion,bueno
1909,57,M,2,propio,poco,12389,6,radio/TV,bueno
1910,35,M,2,propio,poco,4712,12,carro,bueno
1911,36,M,2,rentado,poco,2108,15,carro,bueno
1912,27,F,2,propio,poco,1275,12,carro,bueno
1913,24,M,2,rentado,casi rico,1154,15,radio/TV,malo
1914,27,M,2,propio,poco,1936,12,negocios,bueno
1915,22,M,1,propio,poco,6288,24,educacion,bueno
1916,32,M,1,propio,poco,12389,42,educacion,bueno
1917,48,M,2,propio,NA,12389,12,radio/TV,bueno
1918,24,M,2,rentado,NA,1484,36,radio/TV,malo
1919,22,F,2,propio,rico,2520,24,carro,bueno
1920,28,M,1,propio,casi rico,12389,40,usos domesticos,malo
1921,60,M,2,propio,poco,6842,10,carro,malo
1922,37,M,1,propio,NA,3213,36,carro,malo
1923,25,M,3,propio,poco,3441,24,radio/TV,bueno
1924,22,F,1,propio,NA,2859,8,inmoviliario/equipo,bueno
1925,47,M,2,propio,NA,1533,21,carro,bueno
1926,26,F,2,propio,poco,1585,30,educacion,malo
1927,58,M,3,propio,poco,629,18,radio/TV,bueno
1928,30,M,2,propio,poco,5804,15,radio/TV,bueno
1929,36,M,1,propio,NA,3441,60,carro,bueno
1930,64,F,1,propio,poco,1797,24,carro,bueno
1931,26,M,2,gratis,moderado,1377,12,radio/TV,bueno
1932,33,M,2,rentado,NA,3357,12,carro,malo
1933,40,F,1,propio,poco,6872,15,carro,bueno
1934,27,M,2,rentado,NA,2991,30,carro,bueno
1935,26,M,1,propio,NA,902,11,radio/TV,bueno
1936,22,F,1,rentado,NA,1410,24,carro,bueno
1937,32,M,2,rentado,NA,3213,10,radio/TV,malo
1938,26,F,2,propio,poco,1316,12,inmoviliario/equipo,bueno
1939,31,M,2,propio,NA,804,21,carro,malo
1940,61,M,2,propio,poco,1297,30,inmoviliario/equipo,malo
1941,42,M,2,rentado,rico,6560,6,inmoviliario/equipo,bueno
1942,21,M,2,propio,poco,3077,11,carro,malo
1943,46,M,2,propio,casi rico,3660,27,radio/TV,bueno
1944,50,F,3,propio,poco,1747,18,negocios,malo
1945,32,F,2,propio,moderado,3079,9,carro,bueno
1946,33,M,2,rentado,poco,1747,12,carro,malo
1947,24,F,2,propio,poco,5954,11,radio/TV,malo
1948,26,F,0,gratis,poco,6761,15,carro,bueno
1949,42,F,2,propio,casi rico,3660,24,vacaciones/otros,malo
1950,26,M,2,propio,poco,6560,12,carro,bueno
1951,24,F,2,propio,moderado,1533,45,inmoviliario/equipo,malo
1952,31,F,2,propio,poco,996,39,inmoviliario/equipo,bueno
1953,27,M,2,propio,poco,5804,18,inmoviliario/equipo,bueno
1954,33,M,2,rentado,poco,5084,12,educacion,bueno
1955,33,M,2,propio,casi rico,3556,10,radio/TV,malo
1956,23,M,1,rentado,poco,1516,12,educacion,malo
1957,31,F,2,propio,poco,522,24,negocios,bueno
1958,42,M,2,gratis,poco,1049,39,radio/TV,bueno
1959,23,M,2,propio,poco,6842,10,educacion,bueno
1960,50,M,2,propio,poco,6681,15,negocios,bueno
1961,27,F,2,propio,poco,1424,18,inmoviliario/equipo,bueno
1962,38,M,1,gratis,poco,2397,18,educacion,malo
1963,23,M,2,propio,poco,3959,21,carro,bueno
1964,26,M,2,gratis,poco,1546,21,carro,malo
1965,22,F,2,propio,poco,5096,18,educacion,bueno
1966,27,F,2,propio,poco,10222,24,carro,bueno
1967,31,M,1,rentado,poco,12204,6,carro,bueno
1968,36,M,2,propio,poco,4712,60,radio/TV,bueno
1969,27,M,2,gratis,poco,1164,48,carro,bueno
1970,31,F,2,propio,NA,4712,9,carro,bueno
1971,26,F,1,rentado,poco,3757,6,carro,bueno
1972,26,M,2,propio,NA,1289,18,radio/TV,bueno
1973,36,M,2,propio,poco,6314,42,negocios,bueno
1974,37,M,3,gratis,poco,996,60,carro,bueno
1975,24,M,2,propio,poco,14179,12,educacion,bueno
1976,40,F,2,gratis,poco,640,15,educacion,malo
1977,54,F,0,rentado,poco,5103,24,radio/TV,bueno
1978,33,F,2,propio,NA,10875,11,educacion,bueno
1979,27,M,2,rentado,poco,6148,12,radio/TV,bueno
1980,41,M,2,propio,poco,9277,36,carro,bueno
1981,38,M,3,rentado,poco,12389,21,carro,bueno
1982,31,M,2,propio,NA,1289,24,inmoviliario/equipo,malo
1983,41,M,1,rentado,poco,5096,18,inmoviliario/equipo,bueno
1984,42,M,2,propio,poco,2238,6,carro,bueno
1985,29,M,2,rentado,poco,9572,12,carro,bueno
1986,26,M,0,propio,poco,2511,24,refacciones,bueno
1987,35,M,2,rentado,poco,12389,9,refacciones,bueno
1988,74,M,2,rentado,poco,3609,18,radio/TV,bueno
1989,64,M,2,propio,NA,2346,24,carro,bueno
1990,23,F,3,propio,poco,1842,36,radio/TV,malo
1991,36,F,2,propio,poco,2278,30,radio/TV,malo
1992,24,F,1,propio,poco,1371,24,refacciones,malo
1993,27,M,2,propio,casi rico,1024,24,inmoviliario/equipo,malo
1994,38,F,3,propio,NA,6560,24,negocios,malo
1995,24,F,2,propio,poco,3488,60,carro,bueno
1996,24,F,0,propio,poco,6681,6,carro,bueno
1997,35,M,2,rentado,poco,1258,18,radio/TV,malo
1998,42,F,2,propio,NA,1103,18,radio/TV,bueno
1999,30,F,1,propio,poco,1474,18,carro,malo
2000,25,M,2,propio,poco,2511,15,negocios,malo
2001,28,M,1,propio,rico,2445,27,radio/TV,bueno
2002,52,M,2,propio,NA,1987,24,carro,bueno
2003,34,F,2,propio,poco,3617,12,radio/TV,bueno
2004,33,F,3,rentado,poco,6416,12,carro,bueno
2005,27,F,2,propio,poco,2775,21,radio/TV,bueno
2006,22,M,1,propio,poco,2390,6,negocios,malo
2007,27,F,2,propio,poco,2991,9,carro,bueno
2008,48,M,2,rentado,poco,3017,60,carro,bueno
2009,33,F,2,propio,poco,1577,30,carro,malo
2010,24,F,2,propio,moderado,931,24,educacion,bueno
2011,29,F,2,rentado,casi rico,2848,18,carro,malo
2012,40,M,1,gratis,casi rico,1082,12,carro,bueno
2013,40,M,2,propio,NA,1484,45,negocios,malo
2014,25,M,1,propio,poco,2406,15,carro,bueno
2015,37,M,2,propio,poco,907,60,radio/TV,bueno
2016,35,M,1,propio,poco,5954,24,educacion,malo
2017,25,M,2,rentado,poco,1505,60,radio/TV,malo
2018,45,M,2,rentado,NA,4844,20,educacion,bueno
2019,32,M,1,propio,moderado,1901,24,inmoviliario/equipo,bueno
2020,23,M,1,propio,poco,7393,15,radio/TV,bueno
2021,28,M,2,propio,poco,1936,24,radio/TV,bueno
2022,32,F,2,propio,poco,1980,24,radio/TV,bueno
2023,38,F,2,rentado,poco,6681,18,negocios,malo
2024,34,M,2,propio,poco,10222,21,carro,bueno
2025,33,M,2,propio,NA,1275,6,radio/TV,bueno
2026,23,M,2,rentado,poco,7238,45,educacion,malo
2027,24,M,3,propio,NA,652,13,refacciones,bueno
2028,32,M,2,propio,poco,4526,36,carro,malo
2029,50,M,3,propio,poco,4006,24,radio/TV,malo
2030,35,M,1,propio,poco,1736,18,inmoviliario/equipo,bueno
2031,27,M,2,propio,NA,3621,36,carro,bueno
2032,42,M,2,propio,NA,1228,12,radio/TV,bueno
2033,42,F,3,propio,poco,1424,18,negocios,bueno
2034,25,M,1,propio,poco,2235,30,inmoviliario/equipo,bueno
2035,24,M,2,propio,rico,5954,12,inmoviliario/equipo,bueno
2036,26,F,3,propio,poco,5096,11,carro,malo
2037,28,M,1,rentado,casi rico,3488,10,inmoviliario/equipo,bueno
2038,32,M,3,rentado,poco,3345,24,radio/TV,bueno
2039,51,M,2,propio,poco,1154,12,carro,bueno
2040,24,M,2,gratis,poco,2325,24,carro,bueno
2041,24,M,2,propio,poco,1797,16,inmoviliario/equipo,bueno
2042,36,M,2,propio,poco,7485,24,radio/TV,bueno
2043,24,M,2,propio,poco,3660,45,carro,malo
2044,23,M,2,rentado,NA,1585,36,inmoviliario/equipo,bueno
2045,24,M,3,propio,poco,1082,12,negocios,bueno
2046,42,M,3,propio,poco,6314,45,carro,malo
2047,64,M,2,propio,moderado,652,12,carro,bueno
2048,30,M,2,propio,moderado,7393,24,carro,malo
2049,43,F,3,propio,poco,5096,9,educacion,bueno
2050,40,F,3,propio,poco,1275,12,radio/TV,bueno
2051,36,M,2,propio,poco,6416,9,negocios,malo
2052,24,M,3,propio,casi rico,1206,21,radio/TV,malo
2053,68,F,2,propio,casi rico,1217,36,carro,malo
2054,61,M,2,propio,NA,2775,18,usos domesticos,malo
2055,26,F,3,propio,NA,9277,12,radio/TV,bueno
2056,37,F,2,rentado,poco,1592,48,carro,bueno
2057,23,M,2,propio,poco,7409,12,inmoviliario/equipo,bueno
2058,32,M,3,gratis,poco,9572,24,negocios,bueno
2059,35,F,2,propio,NA,3331,24,inmoviliario/equipo,bueno
2060,28,F,2,propio,poco,3914,24,carro,bueno
2061,29,M,1,propio,poco,1311,12,radio/TV,bueno
2062,41,M,2,propio,rico,1169,27,carro,bueno
2063,24,M,2,propio,poco,5248,21,radio/TV,bueno
2064,22,M,2,rentado,poco,1410,24,inmoviliario/equipo,bueno
2065,33,F,1,propio,poco,2745,30,radio/TV,bueno
2066,36,M,1,propio,poco,3609,21,carro,malo
2067,22,M,2,propio,casi rico,1410,48,carro,bueno
2068,25,M,1,propio,poco,1382,12,inmoviliario/equipo,bueno
2069,50,M,2,propio,poco,4042,12,radio/TV,malo
2070,25,F,0,propio,poco,3357,8,inmoviliario/equipo,malo
2071,22,F,2,rentado,poco,1797,24,carro,bueno
2072,33,M,2,propio,poco,1347,30,carro,bueno
2073,27,M,2,rentado,poco,1516,6,negocios,bueno
2074,57,M,1,rentado,poco,3213,12,educacion,bueno
2075,46,M,1,propio,poco,1424,48,inmoviliario/equipo,bueno
2076,24,M,2,propio,poco,3160,48,vacaciones/otros,bueno
2077,68,M,2,propio,rico,6681,24,carro,bueno
2078,29,M,2,propio,NA,1382,18,carro,bueno
2079,28,M,2,propio,moderado,1549,30,negocios,bueno
2080,41,M,2,propio,poco,2108,12,carro,malo
2081,36,F,2,propio,NA,3990,18,radio/TV,malo
2082,27,F,2,propio,poco,12389,24,educacion,bueno
2083,64,F,3,rentado,casi rico,4241,12,radio/TV,bueno
2084,28,M,3,propio,poco,1217,48,radio/TV,bueno
2085,45,M,2,rentado,rico,1552,15,carro,malo
2086,40,M,2,propio,poco,2406,6,carro,bueno
2087,26,F,3,propio,poco,931,12,carro,bueno
2088,46,M,2,propio,poco,4139,18,inmoviliario/equipo,bueno
2089,23,M,2,rentado,rico,6560,12,inmoviliario/equipo,malo
2090,24,M,3,propio,poco,1577,24,carro,bueno
2091,33,F,2,propio,poco,1808,9,inmoviliario/equipo,bueno
2092,24,F,2,propio,rico,6761,9,radio/TV,malo
2093,27,F,3,propio,casi rico,4844,11,inmoviliario/equipo,bueno
2094,26,F,1,propio,NA,3976,24,carro,bueno
2095,26,M,3,rentado,poco,3976,15,inmoviliario/equipo,bueno
2096,36,F,2,gratis,poco,590,12,carro,malo
2097,28,M,2,propio,poco,14782,24,carro,bueno
2098,39,M,2,propio,NA,1228,21,radio/TV,bueno
2099,40,M,3,propio,poco,2235,12,carro,bueno
2100,26,F,1,propio,poco,433,15,inmoviliario/equipo,bueno
2101,24,M,1,propio,poco,976,27,carro,malo
2102,25,F,2,propio,poco,428,12,radio/TV,malo
2103,42,M,2,propio,poco,1082,24,carro,bueno
2104,29,M,2,propio,casi rico,4370,24,negocios,bueno
2105,36,M,2,propio,poco,1049,40,inmoviliario/equipo,malo
2106,41,M,2,rentado,poco,1533,24,carro,bueno
2107,64,M,3,propio,poco,6289,12,radio/TV,malo
2108,40,M,1,propio,poco,1358,15,radio/TV,malo
2109,33,M,2,propio,poco,1258,6,educacion,malo
2110,35,F,1,propio,poco,3595,18,radio/TV,bueno
2111,29,M,3,propio,poco,2235,12,radio/TV,malo
2112,22,F,2,gratis,poco,5771,18,educacion,bueno
2113,28,F,2,propio,poco,3660,12,carro,bueno
2114,46,M,1,rentado,poco,1516,12,radio/TV,bueno
2115,23,M,2,rentado,poco,1258,18,radio/TV,malo
2116,45,M,2,propio,poco,4530,21,inmoviliario/equipo,malo
2117,48,M,2,propio,moderado,2292,24,radio/TV,malo
2118,22,F,2,gratis,NA,5742,18,radio/TV,bueno
2119,28,F,3,rentado,NA,4716,24,radio/TV,bueno
2120,37,M,2,gratis,NA,1101,4,inmoviliario/equipo,bueno
2121,26,F,3,gratis,poco,2538,6,negocios,bueno
2122,29,F,0,propio,poco,1056,12,radio/TV,bueno
2123,36,M,2,propio,poco,6416,18,carro,malo
2124,52,M,1,gratis,moderado,1216,6,radio/TV,bueno
2125,27,M,0,propio,NA,3757,12,radio/TV,malo
2126,33,F,3,gratis,poco,14782,12,radio/TV,bueno
2127,37,M,2,propio,poco,6761,10,inmoviliario/equipo,malo
2128,32,M,2,rentado,poco,1555,18,inmoviliario/equipo,bueno
2129,24,F,2,propio,poco,14896,12,negocios,bueno
2130,29,F,2,propio,poco,1410,12,radio/TV,bueno
2131,50,F,3,propio,poco,1217,36,carro,bueno
2132,26,M,2,propio,poco,3160,60,negocios,bueno
2133,42,M,3,propio,poco,6761,6,inmoviliario/equipo,bueno
2134,32,M,2,propio,NA,3590,12,inmoviliario/equipo,bueno
2135,30,F,2,propio,poco,3069,12,carro,bueno
2136,61,F,3,propio,poco,1275,48,radio/TV,malo
2137,42,F,3,propio,poco,1800,42,carro,bueno
2138,27,F,3,gratis,poco,428,18,inmoviliario/equipo,bueno
2139,24,M,3,rentado,casi rico,1311,12,carro,bueno
2140,25,F,3,propio,poco,1278,48,carro,bueno
2141,35,M,2,propio,poco,5179,18,carro,malo
2142,38,F,2,rentado,poco,1275,11,carro,malo
2143,26,F,2,propio,moderado,4716,12,negocios,bueno
2144,60,M,3,propio,poco,1049,15,inmoviliario/equipo,bueno
2145,36,F,2,propio,poco,1478,15,radio/TV,bueno
2146,31,M,2,propio,poco,1471,18,carro,bueno
2147,38,M,2,rentado,poco,1216,45,radio/TV,bueno
2148,25,F,1,propio,poco,1480,12,radio/TV,bueno
2149,24,F,3,propio,poco,1842,9,negocios,malo
2150,29,F,1,propio,poco,1169,24,inmoviliario/equipo,bueno
2151,41,F,2,rentado,poco,1505,21,inmoviliario/equipo,bueno
2152,46,M,2,propio,poco,1980,12,radio/TV,bueno
2153,35,M,2,propio,poco,4042,24,radio/TV,bueno
2154,46,M,1,propio,NA,1316,6,radio/TV,bueno
2155,22,M,2,rentado,poco,1289,6,negocios,malo
2156,26,M,2,propio,poco,10875,15,carro,bueno
2157,32,F,2,propio,poco,2511,24,educacion,bueno
2158,24,M,2,propio,casi rico,2775,72,radio/TV,malo
2159,27,M,3,propio,moderado,1236,30,radio/TV,malo
2160,40,M,1,propio,casi rico,3621,12,inmoviliario/equipo,malo
2161,35,F,2,rentado,poco,2301,15,negocios,bueno
2162,35,F,2,propio,poco,1842,10,radio/TV,bueno
2163,33,F,2,gratis,NA,7485,12,educacion,bueno
2164,42,F,2,rentado,poco,3757,9,radio/TV,bueno
2165,26,M,2,propio,poco,1655,11,inmoviliario/equipo,bueno
2166,34,F,2,propio,poco,7409,6,inmoviliario/equipo,bueno
2167,37,M,1,propio,casi rico,4006,24,carro,malo
2168,29,M,1,propio,poco,3660,15,carro,bueno
2169,27,M,1,propio,rico,5096,9,educacion,bueno
2170,20,M,1,rentado,NA,2670,12,vacaciones/otros,bueno
2171,32,M,3,propio,poco,6289,24,educacion,bueno
2172,27,M,2,rentado,NA,4716,21,carro,malo
2173,47,M,2,propio,moderado,3594,24,radio/TV,malo
2174,27,F,2,propio,poco,1347,48,carro,bueno
2175,34,M,2,propio,poco,1934,24,radio/TV,bueno
2176,22,M,3,propio,NA,10297,12,carro,malo
2177,29,M,3,propio,poco,1670,13,radio/TV,malo
2178,27,M,1,rentado,NA,4716,27,carro,malo
2179,41,M,2,propio,NA,3660,12,radio/TV,malo
2180,25,M,2,propio,poco,2108,6,negocios,bueno
2181,22,M,2,propio,poco,1236,18,radio/TV,bueno
2182,25,F,2,propio,poco,3213,10,radio/TV,bueno
2183,21,M,3,rentado,poco,2442,24,carro,bueno
2184,24,M,2,propio,poco,1377,24,radio/TV,malo
2185,39,M,3,rentado,poco,3123,18,radio/TV,malo
2186,34,M,2,rentado,casi rico,1311,6,carro,bueno
2187,25,F,2,propio,poco,1297,30,carro,bueno
2188,27,F,2,propio,NA,1505,12,refacciones,bueno
2189,33,M,2,rentado,poco,2859,20,radio/TV,malo
2190,29,M,2,propio,poco,1514,10,inmoviliario/equipo,malo
2191,42,F,1,rentado,NA,1424,24,radio/TV,bueno
2192,34,M,3,propio,rico,1255,11,carro,bueno
2193,25,M,1,propio,poco,6148,18,carro,bueno
2194,24,F,2,propio,poco,2301,15,inmoviliario/equipo,malo
2195,32,F,2,rentado,casi rico,1410,15,carro,malo
2196,36,F,1,propio,casi rico,2169,12,inmoviliario/equipo,bueno
2197,28,M,2,propio,poco,1289,24,carro,bueno
2198,46,M,2,gratis,poco,4712,12,radio/TV,bueno
2199,32,M,3,propio,poco,1169,6,carro,bueno
2200,51,M,2,propio,poco,3595,12,carro,bueno
2201,25,F,2,propio,poco,5771,15,carro,malo
2202,36,F,3,propio,rico,2578,24,carro,malo
2203,23,F,2,propio,poco,4623,9,inmoviliario/equipo,bueno
2204,32,M,3,propio,poco,1198,24,radio/TV,malo
2205,27,F,2,rentado,poco,6148,12,inmoviliario/equipo,bueno
2206,46,M,2,rentado,poco,5096,24,carro,malo
2207,34,M,3,rentado,poco,929,27,radio/TV,malo
2208,42,M,1,propio,casi rico,1424,24,radio/TV,bueno
2209,41,M,2,propio,casi rico,13756,12,educacion,malo
2210,24,M,2,rentado,poco,929,24,carro,malo
2211,27,M,2,propio,poco,6761,12,educacion,malo
2212,24,F,2,rentado,poco,1258,12,carro,malo
2213,48,M,1,propio,poco,3913,8,inmoviliario/equipo,malo
2214,20,M,1,gratis,poco,1264,15,refacciones,bueno
2215,38,M,2,propio,casi rico,1577,24,radio/TV,bueno
2216,37,F,1,gratis,poco,3017,48,inmoviliario/equipo,malo
2217,27,M,1,propio,rico,1455,24,carro,bueno
2218,30,M,2,propio,poco,2442,6,carro,bueno
2219,37,M,0,rentado,NA,428,18,educacion,malo
2220,27,F,2,propio,poco,6681,24,educacion,bueno
2221,42,M,2,rentado,poco,3621,18,radio/TV,malo
2222,36,M,1,rentado,casi rico,2329,6,refacciones,bueno
2223,59,M,2,propio,poco,2292,48,negocios,malo
2224,36,F,2,propio,casi rico,1024,14,radio/TV,malo
2225,46,M,2,propio,NA,1532,24,inmoviliario/equipo,bueno
2226,29,M,2,propio,poco,1377,12,carro,bueno
2227,35,M,2,propio,poco,2625,12,inmoviliario/equipo,bueno
2228,66,M,2,rentado,moderado,3990,24,carro,bueno
2229,31,M,3,propio,NA,1049,48,carro,bueno
2230,52,M,2,rentado,casi rico,2611,48,negocios,malo
2231,35,M,2,rentado,poco,7393,6,negocios,bueno
2232,32,F,2,rentado,poco,2214,24,radio/TV,bueno
2233,27,M,3,propio,poco,3160,6,radio/TV,bueno
2234,23,M,2,gratis,moderado,2625,15,carro,bueno
2235,38,F,2,propio,poco,2611,24,inmoviliario/equipo,bueno
2236,24,M,1,propio,moderado,2924,18,negocios,bueno
2237,31,F,2,rentado,rico,1338,12,negocios,bueno
2238,21,F,2,propio,poco,3488,6,radio/TV,bueno
2239,21,M,1,gratis,moderado,590,12,refacciones,bueno
2240,43,F,2,propio,poco,1934,24,carro,malo
2241,38,M,0,rentado,poco,1516,21,carro,malo
2242,36,M,2,propio,poco,4139,27,inmoviliario/equipo,bueno
2243,35,F,3,propio,poco,2360,21,radio/TV,bueno
2244,28,M,1,rentado,poco,3660,6,carro,malo
2245,24,F,2,rentado,poco,1216,21,radio/TV,bueno
2246,37,M,3,rentado,poco,1311,27,carro,malo
2247,35,M,1,propio,poco,2278,6,inmoviliario/equipo,bueno
2248,27,F,2,propio,poco,11816,6,inmoviliario/equipo,bueno
2249,22,M,1,propio,poco,3123,15,educacion,bueno
2250,28,M,2,rentado,NA,2133,45,radio/TV,malo
2251,25,M,2,rentado,poco,4576,18,radio/TV,bueno
2252,32,F,2,propio,poco,1478,9,inmoviliario/equipo,bueno
2253,36,M,2,propio,poco,2360,42,inmoviliario/equipo,bueno
2254,29,M,2,propio,poco,6842,12,radio/TV,bueno
